NAME,n
barcelos,381
belterra,204
benjamin constant,264
caracarai,277
cax,150
coari,352
cobija,360
Iauarete,301
iquitos,390
Labrea,302
manaus,419
Manicore,298
Nickerie Vliegveld,243
Porto de Moz,378
porto_velho,306
pucallpa,408
riberalta,199
rochambeau,444
rurrenabaque,241
sao_gabriel,223
Tarauaca,229
tefe,277
zanderij,169
