NAME,n
akim_oda,132
banningville,150
berberati,265
bitam,210
douala,272
franceville,89
gemena,26
impfondo,266
inongo,130
kelle,96
kisangani,139
kumasi,164
lambarene,251
lastoursville,247
mabali,66
makokou,254
makoua,444
mbandaka,139
mekambo,70
mitzic,95
mouila,247
ouesso,265
sefwi_bekwai,132
souanke,32
tchibanga,234
yaounde,111
