site,lon,lat
belterra,-54.95,-2.63
cax,-51.46198,-1.735681
coari,-63.13,-4.08
cobija,-68.78,-11.03
iquitos,-73.3,-3.783
manaus,-60.02,-3.13
porto_velho,-63.08,-8.77
pucallpa,-74.57,-8.37
riberalta,-66.117,-11
rochambeau,-52.37,4.83
rurrenabaque,-67.57,-14.47
sao_gabriel,-67.08,-0.13
zanderij,-55.2,5.45
barcelos,-62.9,-1
tefe,-64.7,-3.8
benjamin constant,-70,-4.4
Nickerie Vliegveld,-57,4.1
Porto de Moz,-52.2,-1.7
Manicore,-61.3,-5.8
Labrea,-64.8,-7.3
Tarauaca,-70.8,-8.2
Iauarete,-69.2,0.6
caracarai,-61.1,1.8
