STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVG
IDM00096179,"DABO, ID",-0.479,104.579,30,2015-03,27.9
IDM00096179,"DABO, ID",-0.479,104.579,30,2015-04,27.8
IDM00096179,"DABO, ID",-0.479,104.579,30,2015-05,28
IDM00096179,"DABO, ID",-0.479,104.579,30,2015-06,28.3
IDM00096179,"DABO, ID",-0.479,104.579,30,2015-07,28.7
IDM00096179,"DABO, ID",-0.479,104.579,30,2015-08,28.2
IDM00096179,"DABO, ID",-0.479,104.579,30,2015-09,28.6
IDM00096179,"DABO, ID",-0.479,104.579,30,2015-10,28.4
IDM00096179,"DABO, ID",-0.479,104.579,30,2015-11,27.9
IDM00096179,"DABO, ID",-0.479,104.579,30,2015-12,27.6
IDM00096179,"DABO, ID",-0.479,104.579,30,2016-01,27.8
IDM00096179,"DABO, ID",-0.479,104.579,30,2016-02,27.6
IDM00096179,"DABO, ID",-0.479,104.579,30,2016-03,28.3
IDM00096179,"DABO, ID",-0.479,104.579,30,2016-04,28.4
IDM00096179,"DABO, ID",-0.479,104.579,30,2016-05,28.4
IDM00096179,"DABO, ID",-0.479,104.579,30,2016-06,27.3
IDM00096179,"DABO, ID",-0.479,104.579,30,2016-07,27.9
IDM00096179,"DABO, ID",-0.479,104.579,30,2016-08,27.6
IDM00096179,"DABO, ID",-0.479,104.579,30,2016-09,27.5
IDM00096179,"DABO, ID",-0.479,104.579,30,2016-11,27
IDM00096179,"DABO, ID",-0.479,104.579,30,2016-12,27.5
IDM00096221,"SULTAN MAHMUD BADARUDDIN II, ID",-2.898,104.701,14.9,1981-02,
IDM00096221,"SULTAN MAHMUD BADARUDDIN II, ID",-2.898,104.701,14.9,1981-03,
IDM00096221,"SULTAN MAHMUD BADARUDDIN II, ID",-2.898,104.701,14.9,1981-06,
IDM00096221,"SULTAN MAHMUD BADARUDDIN II, ID",-2.898,104.701,14.9,1981-12,
IDM00096221,"SULTAN MAHMUD BADARUDDIN II, ID",-2.898,104.701,14.9,1993-03,27.5
IDM00096221,"SULTAN MAHMUD BADARUDDIN II, ID",-2.898,104.701,14.9,1993-08,27.9
IDM00096221,"SULTAN MAHMUD BADARUDDIN II, ID",-2.898,104.701,14.9,1994-10,27.9
IDM00096221,"SULTAN MAHMUD BADARUDDIN II, ID",-2.898,104.701,14.9,1995-01,
IDM00096221,"SULTAN MAHMUD BADARUDDIN II, ID",-2.898,104.701,14.9,1995-02,26.8
IDM00096221,"SULTAN MAHMUD BADARUDDIN II, ID",-2.898,104.701,14.9,1995-05,
IDM00096221,"SULTAN MAHMUD BADARUDDIN II, ID",-2.898,104.701,14.9,1995-08,
IDM00096221,"SULTAN MAHMUD BADARUDDIN II, ID",-2.898,104.701,14.9,1995-09,
IDM00096221,"SULTAN MAHMUD BADARUDDIN II, ID",-2.898,104.701,14.9,1996-03,27.7
IDM00096221,"SULTAN MAHMUD BADARUDDIN II, ID",-2.898,104.701,14.9,1997-01,
IDM00096221,"SULTAN MAHMUD BADARUDDIN II, ID",-2.898,104.701,14.9,1997-02,27.3
IDM00096221,"SULTAN MAHMUD BADARUDDIN II, ID",-2.898,104.701,14.9,1997-09,28.4
IDM00096221,"SULTAN MAHMUD BADARUDDIN II, ID",-2.898,104.701,14.9,1998-05,
IDM00096221,"SULTAN MAHMUD BADARUDDIN II, ID",-2.898,104.701,14.9,1998-10,
IDM00096221,"SULTAN MAHMUD BADARUDDIN II, ID",-2.898,104.701,14.9,1999-02,27.2
IDM00096221,"SULTAN MAHMUD BADARUDDIN II, ID",-2.898,104.701,14.9,1999-07,27
IDM00096221,"SULTAN MAHMUD BADARUDDIN II, ID",-2.898,104.701,14.9,2002-09,
IDM00096221,"SULTAN MAHMUD BADARUDDIN II, ID",-2.898,104.701,14.9,2003-04,27.8
IDM00096221,"SULTAN MAHMUD BADARUDDIN II, ID",-2.898,104.701,14.9,2003-05,28.2
IDM00096221,"SULTAN MAHMUD BADARUDDIN II, ID",-2.898,104.701,14.9,2003-07,27.2
IDM00096221,"SULTAN MAHMUD BADARUDDIN II, ID",-2.898,104.701,14.9,2003-10,27.5
IDM00096221,"SULTAN MAHMUD BADARUDDIN II, ID",-2.898,104.701,14.9,2004-01,26.8
IDM00096221,"SULTAN MAHMUD BADARUDDIN II, ID",-2.898,104.701,14.9,2004-02,
IDM00096221,"SULTAN MAHMUD BADARUDDIN II, ID",-2.898,104.701,14.9,2004-04,28.1
IDM00096221,"SULTAN MAHMUD BADARUDDIN II, ID",-2.898,104.701,14.9,2004-05,28.1
IDM00096221,"SULTAN MAHMUD BADARUDDIN II, ID",-2.898,104.701,14.9,2004-06,27.8
IDM00096221,"SULTAN MAHMUD BADARUDDIN II, ID",-2.898,104.701,14.9,2004-07,
IDM00096221,"SULTAN MAHMUD BADARUDDIN II, ID",-2.898,104.701,14.9,2004-08,27.4
IDM00096221,"SULTAN MAHMUD BADARUDDIN II, ID",-2.898,104.701,14.9,2004-09,28.1
IDM00096221,"SULTAN MAHMUD BADARUDDIN II, ID",-2.898,104.701,14.9,2004-10,
IDM00096221,"SULTAN MAHMUD BADARUDDIN II, ID",-2.898,104.701,14.9,2004-11,27.5
IDM00096221,"SULTAN MAHMUD BADARUDDIN II, ID",-2.898,104.701,14.9,2004-12,26.6
IDM00096221,"SULTAN MAHMUD BADARUDDIN II, ID",-2.898,104.701,14.9,2005-01,26.7
IDM00096221,"SULTAN MAHMUD BADARUDDIN II, ID",-2.898,104.701,14.9,2005-02,27.4
IDM00096221,"SULTAN MAHMUD BADARUDDIN II, ID",-2.898,104.701,14.9,2005-03,27.2
IDM00096221,"SULTAN MAHMUD BADARUDDIN II, ID",-2.898,104.701,14.9,2005-04,
IDM00096221,"SULTAN MAHMUD BADARUDDIN II, ID",-2.898,104.701,14.9,2005-05,28
IDM00096221,"SULTAN MAHMUD BADARUDDIN II, ID",-2.898,104.701,14.9,2005-06,27.4
IDM00096221,"SULTAN MAHMUD BADARUDDIN II, ID",-2.898,104.701,14.9,2005-07,27.3
IDM00096221,"SULTAN MAHMUD BADARUDDIN II, ID",-2.898,104.701,14.9,2005-08,27.3
IDM00096221,"SULTAN MAHMUD BADARUDDIN II, ID",-2.898,104.701,14.9,2005-09,27.6
IDM00096221,"SULTAN MAHMUD BADARUDDIN II, ID",-2.898,104.701,14.9,2005-10,27.1
IDM00096221,"SULTAN MAHMUD BADARUDDIN II, ID",-2.898,104.701,14.9,2005-11,26.7
IDM00096221,"SULTAN MAHMUD BADARUDDIN II, ID",-2.898,104.701,14.9,2006-01,26.1
IDM00096221,"SULTAN MAHMUD BADARUDDIN II, ID",-2.898,104.701,14.9,2006-02,26.9
IDM00096221,"SULTAN MAHMUD BADARUDDIN II, ID",-2.898,104.701,14.9,2006-03,26.6
IDM00096221,"SULTAN MAHMUD BADARUDDIN II, ID",-2.898,104.701,14.9,2006-04,26.9
IDM00096221,"SULTAN MAHMUD BADARUDDIN II, ID",-2.898,104.701,14.9,2006-05,27.1
IDM00096221,"SULTAN MAHMUD BADARUDDIN II, ID",-2.898,104.701,14.9,2006-06,26.4
IDM00096221,"SULTAN MAHMUD BADARUDDIN II, ID",-2.898,104.701,14.9,2006-07,27
IDM00096221,"SULTAN MAHMUD BADARUDDIN II, ID",-2.898,104.701,14.9,2006-08,26.9
IDM00096221,"SULTAN MAHMUD BADARUDDIN II, ID",-2.898,104.701,14.9,2006-09,28
IDM00096221,"SULTAN MAHMUD BADARUDDIN II, ID",-2.898,104.701,14.9,2006-11,28.5
IDM00096221,"SULTAN MAHMUD BADARUDDIN II, ID",-2.898,104.701,14.9,2008-09,27.6
IDM00096195,"SULTAN THAHA, ID",-1.638,103.644,25,1981-02,
IDM00096195,"SULTAN THAHA, ID",-1.638,103.644,25,1981-06,
