STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVG
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1981-01,27
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1981-02,27.8
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1981-03,27.7
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1981-04,26.6
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1981-05,25.5
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1981-06,24
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1981-07,24.9
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1981-08,23.3
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1981-09,24.7
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1981-10,26.6
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1981-11,28.4
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1981-12,28
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1982-01,27.6
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1982-02,27.3
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1982-03,27.1
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1982-04,26.1
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1982-05,24.9
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1982-06,22.1
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1982-07,21.4
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1982-08,22.4
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1982-09,23.2
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1982-10,24.1
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1982-11,25.6
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1982-12,27.8
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1983-01,28.6
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1983-02,28
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1983-03,27.7
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1983-04,27.6
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1983-05,26.3
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1983-06,23.8
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1983-07,23
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1983-08,23.9
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1983-09,25.2
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1983-10,26.6
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1983-11,27.5
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1983-12,27.7
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1984-01,27.4
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1984-02,27
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1984-03,26.7
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1984-04,26.4
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1984-05,25.4
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1984-06,23.3
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1984-07,22.8
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1984-08,23.7
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1984-09,25.3
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1984-10,25.8
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1984-11,27.5
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1984-12,28.4
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1985-01,27.5
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1985-02,27.6
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1985-03,26.8
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1985-04,26.7
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1985-05,25.3
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1985-06,23.5
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1985-07,22.3
