NAME,n
"ADIAKE, IV",24
"BANGUI M POKO, CT",5
"BANGUI, CT",5
"BERBERATI, CT",11
"BITAM, GB",7
"COCOBEACH, GB",8
"DOUALA, CM",76
"IMPFONDO, CF",6
Kumasi,297
"LAMBARENE, GB",9
"LASTOURSVILLE, GB",5
"LEON M BA, GB",30
"LIBREVILLE, GB",5
Lope,49
"MAKOKOU, GB",5
"MAKOUA, CF",5
"MAYUMBA, GB",9
"MEKAMBO, GB",5
"MITZIC, GB",7
"MOANDA, GB",7
"MOUILA, GB",7
"MOUILLA VILLE, GB",6
"OUESSO, CF",8
"PORT GENTIL, GB",19
Sefwi Bekwai,299
"SIBITI, CF",8
"SOUANKE, CF",6
"TABOU, IV",42
"TCHIBANGA, GB",6
