NAME,LATITUDE,LONGITUDE
Kumasi,6.715,-1.591
Lope,-0.21572,11.61524
Sefwi Bekwai,6.2,-2.333
"BANGUI M POKO, CT",4.398,18.519
"BANGUI, CT",4.38,18.57
"BERBERATI, CT",4.22,15.78
"BITAM, GB",2.08,11.48
"COCOBEACH, GB",1.0,9.6
"DOUALA, CM",4.02,9.72
"IMPFONDO, CF",1.62,18.07
"LAMBARENE, GB",0.72,10.22
"LASTOURSVILLE, GB",0.83,12.72
"LEON M BA, GB",0.459,9.412
"LIBREVILLE, GB",0.38,9.45
"MAKOKOU, GB",0.57,12.87
"MAKOUA, CF",0.02,15.58
"MEKAMBO, GB",1.02,13.93
"MITZIC, GB",0.783,11.533
"OUESSO, CF",1.62,16.05
"PORT GENTIL, GB",-0.72,8.78
"MAYUMBA, GB",-3.42,10.65
"MOANDA, GB",-1.53,13.27
"MOUILA, GB",-1.87,11.02
"MOUILLA VILLE, GB",-1.845,11.057
"SIBITI, CF",-3.68,13.35
"SOUANKE, CF",-2.67,14.05
"TCHIBANGA, GB",-2.92,11.02
"ADIAKE, IV",5.3,-3.3
"TABOU, IV",4.42,-7.37
