NAME,LATITUDE,LONGITUDE
"BACABA, BR",-6.32,-64.88
"CANUTAMA, BR",-6.53,-64.38
"HUMAITA PCD, BR",-7.51,-63.03
"ARARI, BR",-5.68,-59.58
"BEABA, BR",-4.85,-62.87
"FAZENDA AGUA AZUL, BR",-7.82,-61.24
"FAZENDA BONSUCESSO, BR",-7.9,-61.18
"VILA DO APUI, BR",-7.2,-59.89
"FAZENDA BELA SOMBRA, BR",-5.85,-62.35
"NOVO ARIPUANA, BR",-5.12,-60.38
"SANTAREM SUCUNDURI PCD, BR",-6.8,-59.05
"CARIUACANGA, BR",-5.02,-62.8
"CASTANHAL PATU, BR",-5.67,-64.33
"MONTE ALEGRE, BR West",-5.59,-60.37
"NOVA ESPERANCA, BR",-6.36,-61.77
"RECREIO PEDREIRAS, BR",-5.29,-60.7
"SAO RAFAEL, BR",-6.25,-61.84
"GOIANO, BR",-7.85,-62.27
"CRISTO, BR",-7.25,-64.23
"ARUMA JUSANTE, BR",-4.73,-62.15
"ARUMA MONTANTE, BR",-4.73,-62.13
"BOCA DO GUARIBA, BR",-7.68,-60.3
"BOCA DO URUCU, BR",-7.15,-58.93
"PRAINHA VELHA, BR",-7.25,-60.4
"SERINGAL MOREIRA, BR",-5.11,-63.98
"ITATUBA, BR",-5.78,-63.35
"KM 1130 BR 163, BR",-6.67,-55.5
"FAZENDA AGROTEP, BR",-10.88,-57.58
"TRIVELATO, BR",-9.94,-57.13
"SANTA ROSA, BR",-8.87,-57.42
"KM 947 BR 163, BR",-8.19,-55.12
"MISSAO CURURU, BR",-7.6,-57.58
"FAZENDA TOMBADOR, BR",-11.78,-58.07
"RANCHO DE DEUS, BR",-11.0,-54.81
"AGRO PECUARIA CAJABI, BR",-10.75,-54.55
"JUSANTE FOZ PEIXOTO DE AZEVEDO, BR",-9.64,-56.02
"ALTA FLORESTA AERO, BR",-9.867,-56.1
"BRASNORTE, BR",-12.12,-58.0
"VALE DO NATAL, BR",-10.55,-58.87
"CACHIMBO, BR",-9.82,-54.89
"MENCRANOTIRE, BR",-8.65,-54.22
"NUCLEO ARIEL, BR",-9.86,-58.25
"JURUENA, BR",-10.32,-58.5
"JUARA, BR",-11.25,-57.51
"PORTO DOS GAUCHOS PCD, BR",-11.54,-57.42
"GARIMPO DO PATROCINIO, BR",-6.97,-56.47
"COLIDER, BR",-10.8,-55.45
"SANTA JULIA, BR",-6.78,-55.45
"INDECO, BR",-10.11,-55.57
"KM 1027 DA BR 163, BR",-7.51,-55.26
"NOVO PLANETA, BR",-9.37,-57.22
"ALDEIA DO BAU, BR",-7.33,-54.83
"ALENQUER, BR",-1.94,-54.74
"ARAPARI, BR",-1.77,-54.4
"AUTAZES, BR",-3.58,-59.13
"BALSA DO RIO URUBU, BR",-2.91,-59.04
"BARRAGEM CONJ.4, BR",-2.82,-54.3
"BARREIRINHA, BR East",-2.79,-57.06
"BOA VISTA DO RAMOS, BR",-2.97,-57.59
"BOCA DO INFERNO, BR",-1.5,-54.87
"BUBURE SAI CINZA, BR",-4.63,-56.3
