Date,PRCP_GHCN,PRCP_TRMM,PRCP_CHIRPS
1/12/2010,353,393.2819824,375.5449524
1/01/2011,443,490.925293,550.9230347
1/02/2011,305,350.1148987,315.2758789
1/03/2011,410,426.9611816,376.2362061
1/04/2011,134,191.8368225,203.2711182
1/05/2011,267,220.2865448,246.2994995
1/06/2011,222,221.5288086,270.7142639
1/07/2011,41,66.70965576,129.6442871
1/08/2011,215,206.8803711,155.7866058
1/09/2011,106,117.3806915,153.6082916
1/10/2011,475,356.8323059,388.1885986
1/11/2011,233,248.8652344,279.7601929
1/12/2011,465,536.9980469,466.3627319
1/01/2012,475,520.7263794,469.3953552
1/02/2012,332,394.4273376,350.9848022
1/03/2012,341,371.6995239,430.3702393
1/04/2012,311,266.225708,292.8382874
1/05/2012,174,162.2654114,182.0433655
1/06/2012,170,176.1691742,163.9782715
1/07/2012,239,291.1519775,257.0273438
1/08/2012,194,309.9481201,219.8986816
1/09/2012,86,140.9834137,131.9222565
1/10/2012,288,421.3404541,309.2806091
1/11/2012,332,319.9139404,373.5770569
1/12/2012,385,337.3521423,379.4740601
1/01/2013,130,199.3342743,201.140564
1/02/2013,381,385.7168884,410.6520386
1/03/2013,210,222.6436005,299.2886353
1/04/2013,225,291.8616638,256.9938354
1/05/2013,195,262.7104797,229.9656219
1/06/2013,64,95.86278534,133.3432922
1/07/2013,132,216.5546417,176.3065796
1/08/2013,265,310.1682739,255.618576
1/09/2013,211,213.727356,224.4727325
1/10/2013,189,217.3469086,217.0893555
1/11/2013,262,277.2070923,289.0918884
1/12/2013,514,542.258728,542.9418945
1/01/2014,565,427.7107239,440.6833496
1/02/2014,38,59.49018097,123.2848434
1/03/2014,158,169.5218811,186.9201813
1/04/2014,174,223.361084,217.6129303
1/05/2014,179,278.4561768,242.3885498
1/06/2014,38,87.80447388,121.3276215
1/07/2014,92,132.9273071,108.856636
1/08/2014,439,378.0406189,356.3936768
1/09/2014,313,277.0795288,236.5389099
1/10/2014,241,236.5393372,271.6432495
1/11/2014,521,465.065033,453.9231873
1/12/2014,584,476.1313477,483.5452271
1/01/2015,470,578.026123,584.3334351
1/02/2015,378,324.8808899,295.7168884
1/03/2015,335,209.3820953,282.3953247
1/04/2015,289,289.4918213,270.3052979
1/05/2015,178,202.6093292,209.4883423
1/06/2015,182,245.503006,228.6176605
1/07/2015,179,184.7177124,161.3795013
1/08/2015,282,238.2376251,197.9229431
1/09/2015,85,182.7970581,106.5830688
1/10/2015,251,220.6767426,238.5405884
1/11/2015,,714.4368896,604.3186035
1/12/2015,377,434.194519,328.0665588
1/01/2016,461,339.7277527,378.08255
1/02/2016,635,433.9703064,338.1038818
1/03/2016,645,351.8619995,337.4159241
1/04/2016,419,341.3191223,226.41745
1/05/2016,315,285.8287048,260.8275146
1/06/2016,305,253.5938721,264.7506714
1/07/2016,272,234.0023041,172.3083191
1/08/2016,,301.5247192,232.0038452
1/09/2016,,214.9198456,223.1603394
1/10/2016,,227.8372345,282.9024048
1/11/2016,,421.8536682,433.4094543
1/12/2016,,415.7990723,359.1421509
