date,NAME,LATITUDE,LONGITUDE,ELEVATION,PRCP_GHCN,PRCP_TRMM,PRCP_CHIRPS
1/10/2005,"IQUITOS, PE",-3.783,-73.3,126,NA,422.3565063,180.7112427
1/11/2005,"IQUITOS, PE",-3.783,-73.3,126,NA,305.003479,141.3891144
1/12/2005,"IQUITOS, PE",-3.783,-73.3,126,NA,421.9000549,215.2109985
1/01/2006,"IQUITOS, PE",-3.783,-73.3,126,495.6,327.9252319,159.6353912
1/02/2006,"IQUITOS, PE",-3.783,-73.3,126,NA,321.9570313,118.0163574
1/03/2006,"IQUITOS, PE",-3.783,-73.3,126,NA,379.9161682,229.5519714
1/04/2006,"IQUITOS, PE",-3.783,-73.3,126,NA,275.4659424,150.9407959
1/05/2006,"IQUITOS, PE",-3.783,-73.3,126,NA,405.4157104,184.6599426
1/06/2006,"IQUITOS, PE",-3.783,-73.3,126,322.7,353.0192566,177.4170227
1/07/2006,"IQUITOS, PE",-3.783,-73.3,126,NA,82.07019043,61.97994232
1/08/2006,"IQUITOS, PE",-3.783,-73.3,126,364.2,285.9564819,126.9831696
1/09/2006,"IQUITOS, PE",-3.783,-73.3,126,NA,435.0362244,161.4770203
1/10/2006,"IQUITOS, PE",-3.783,-73.3,126,391,303.2877502,125.9721832
1/11/2006,"IQUITOS, PE",-3.783,-73.3,126,523.6,364.9393311,220.0576172
1/12/2006,"IQUITOS, PE",-3.783,-73.3,126,NA,539.0958862,266.8568726
1/01/2007,"IQUITOS, PE",-3.783,-73.3,126,NA,464.1169128,184.4288483
1/02/2007,"IQUITOS, PE",-3.783,-73.3,126,NA,117.4823685,88.40812683
1/03/2007,"IQUITOS, PE",-3.783,-73.3,126,704.7,441.5838318,276.5762024
1/04/2007,"IQUITOS, PE",-3.783,-73.3,126,NA,430.914093,217.8027802
1/05/2007,"IQUITOS, PE",-3.783,-73.3,126,NA,234.7566681,163.6225586
1/06/2007,"IQUITOS, PE",-3.783,-73.3,126,NA,166.6772766,81.76265717
1/07/2007,"IQUITOS, PE",-3.783,-73.3,126,NA,97.90464783,85.07486725
1/08/2007,"IQUITOS, PE",-3.783,-73.3,126,NA,85.36209106,96.38066864
1/09/2007,"IQUITOS, PE",-3.783,-73.3,126,NA,184.6100006,118.4088287
1/10/2007,"IQUITOS, PE",-3.783,-73.3,126,NA,254.3289185,84.63456726
1/11/2007,"IQUITOS, PE",-3.783,-73.3,126,521.5,379.7354431,166.9856873
1/12/2007,"IQUITOS, PE",-3.783,-73.3,126,NA,441.6358948,236.0873413
1/01/2008,"IQUITOS, PE",-3.783,-73.3,126,402.3,332.8624573,174.5693665
1/02/2008,"IQUITOS, PE",-3.783,-73.3,126,NA,300.5448914,181.5835876
1/03/2008,"IQUITOS, PE",-3.783,-73.3,126,NA,377.516571,188.1513062
1/04/2008,"IQUITOS, PE",-3.783,-73.3,126,NA,172.5662689,129.7108612
1/05/2008,"IQUITOS, PE",-3.783,-73.3,126,NA,184.3817596,118.4557953
1/06/2008,"IQUITOS, PE",-3.783,-73.3,126,NA,274.1891479,137.7164307
1/07/2008,"IQUITOS, PE",-3.783,-73.3,126,NA,137.4577942,85.4052887
1/08/2008,"IQUITOS, PE",-3.783,-73.3,126,NA,90.40258789,82.36237335
1/09/2008,"IQUITOS, PE",-3.783,-73.3,126,NA,236.6392822,239.4343567
1/10/2008,"IQUITOS, PE",-3.783,-73.3,126,NA,250.0834961,148.3674622
1/11/2008,"IQUITOS, PE",-3.783,-73.3,126,NA,234.4659882,215.5613708
1/12/2008,"IQUITOS, PE",-3.783,-73.3,126,NA,142.9178772,122.5962067
1/01/2009,"IQUITOS, PE",-3.783,-73.3,126,275.9,516.3881226,249.8823242
1/02/2009,"IQUITOS, PE",-3.783,-73.3,126,NA,438.8757019,272.1558228
