longitude,latitude,Date,PRCP_GHCN,PRCP_TRMM,PRCP_CHIRPS
117.8208333,5.01666667,1/08/2006,186.6,248.6877747,215.5002747
117.8208333,5.01666667,1/09/2006,164.6,527.8613892,351.4841309
117.8208333,5.01666667,1/10/2006,366.9,456.9657288,551.322937
117.8208333,5.01666667,1/11/2006,152.1,165.4242554,201.0174866
117.8208333,5.01666667,1/12/2006,240.5,383.7922974,265.9476929
117.8208333,5.01666667,1/01/2007,348.6,621.4608154,405.2871704
117.8208333,5.01666667,1/02/2007,117.5,95.04000092,153.2621307
117.8208333,5.01666667,1/03/2007,131.6,200.7724762,203.2045593
117.8208333,5.01666667,1/04/2007,95.2,179.0221863,152.7693481
117.8208333,5.01666667,1/05/2007,283,202.4989777,225.7066345
117.8208333,5.01666667,1/06/2007,348.4,241.4597168,233.5489349
117.8208333,5.01666667,1/07/2007,279.7,335.9874573,219.8156738
117.8208333,5.01666667,1/08/2007,217.6,173.9921112,164.6889191
117.8208333,5.01666667,1/09/2007,222.6,217.3974152,286.0772095
117.8208333,5.01666667,1/10/2007,276.8,261.1219482,342.3667297
117.8208333,5.01666667,1/11/2007,434.5,249.4572754,213.7635193
117.8208333,5.01666667,1/12/2007,266.2,360.1746216,441.8383179
117.8208333,5.01666667,1/01/2008,330.1,272.2533569,264.6029053
117.8208333,5.01666667,1/02/2008,278.9,448.4382935,365.0233459
117.8208333,5.01666667,1/03/2008,295.2,403.3392334,328.2886353
117.8208333,5.01666667,1/04/2008,263.4,274.8509827,213.5868683
117.8208333,5.01666667,1/05/2008,370.3,276.1276245,310.4633789
117.8208333,5.01666667,1/06/2008,215.3,229.1229706,226.6715088
117.8208333,5.01666667,1/07/2008,196.2,198.7153931,184.0571136
117.8208333,5.01666667,1/08/2008,149.8,237.8302155,181.2447815
117.8208333,5.01666667,1/09/2008,290,272.632019,239.5081787
117.8208333,5.01666667,1/10/2008,281.8,259.8186646,322.5885315
117.8208333,5.01666667,1/11/2008,232.6,252.0164948,257.6337585
117.8208333,5.01666667,1/12/2008,316,198.3599701,257.2666321
117.8208333,5.01666667,1/01/2009,352.8,523.7270508,446.9678345
117.8208333,5.01666667,1/02/2009,338.6,610.8753052,450.9625244
117.8208333,5.01666667,1/03/2009,254.2,299.8588867,389.3418579
117.8208333,5.01666667,1/04/2009,238.2,301.9413452,371.6784058
117.8208333,5.01666667,1/05/2009,374.7,296.8816833,324.6481628
117.8208333,5.01666667,1/06/2009,226.3,151.8729553,204.0427399
117.8208333,5.01666667,1/07/2009,319.6,196.1749268,190.8852081
117.8208333,5.01666667,1/08/2009,133.4,187.610321,138.9048157
117.8208333,5.01666667,1/09/2009,148.2,179.2589264,210.6445618
117.8208333,5.01666667,1/10/2009,397.1,298.9070129,356.9751892
117.8208333,5.01666667,1/11/2009,445.4,244.6448059,234.3762207
117.8208333,5.01666667,1/12/2009,192.7,179.2604675,189.1200256
117.8208333,5.01666667,1/01/2010,360.6,304.7304993,267.4190979
117.8208333,5.01666667,1/02/2010,11.5,2.699999809,50.07062531
117.8208333,5.01666667,1/03/2010,94.5,145.4377594,112.652359
117.8208333,5.01666667,1/04/2010,104.6,158.7657928,123.3556519
117.8208333,5.01666667,1/05/2010,221.5,203.1829224,221.8677673
117.8208333,5.01666667,1/06/2010,192.4,169.0776367,203.2764435
117.8208333,5.01666667,1/07/2010,172.1,190.1334381,147.648468
117.8208333,5.01666667,1/08/2010,256.3,259.6038208,185.4555511
117.8208333,5.01666667,1/09/2010,147.4,185.7194061,213.0709839
117.8208333,5.01666667,1/10/2010,147.7,146.7686768,277.7781372
