Date,NAME,LATITUDE,LONGITUDE,ELEVATION,PRCP_GHCN,PRCP_TRMM,PRCP_CHIRPS
1/08/2004,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,119.9975586,136.97258
1/09/2004,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,211.3183136,230.3549652
1/10/2004,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,197.4319305,181.4224243
1/11/2004,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,253.3,327.5464172,275.6065979
1/12/2004,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,208.8,267.2816162,238.6315308
1/01/2005,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,305.4263,293.2877197
1/02/2005,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,238.0906525,220.2388916
1/03/2005,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,350.8306885,320.7028809
1/04/2005,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,390.8529968,371.1484375
1/05/2005,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,161.9889221,178.3757172
1/06/2005,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,71.15930176,80.18917847
1/07/2005,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,36.25785065,49.3719101
1/08/2005,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,75.97887421,83.51291656
1/09/2005,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,63.37981033,74.909729
1/10/2005,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,442.0697632,344.3847351
1/11/2005,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,361.9011841,292.1734619
1/12/2005,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,363.4606018,256.0536804
1/01/2006,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,502.704071,451.3696289
1/02/2006,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,371.111084,335.0662231
1/03/2006,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,502.409729,398.7105408
1/04/2006,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,296.0300903,261.2340088
1/05/2006,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,228.358429,195.8466187
1/06/2006,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,106.8232193,135.8813782
1/07/2006,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,132.2087555,138.7967834
