STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP_GHCN,PRCP_TRMM,PRCP_CHIRPS
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/01/2004,363,253.2517548,285.6270447
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/02/2004,274.5,307.8961182,385.7263794
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/03/2004,471.8,415.6908875,444.9734192
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/04/2004,214.9,64.52999878,111.7936935
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/05/2004,84.6,12.77999973,55.65150452
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/06/2004,45.8,38.03062439,57.90225983
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/07/2004,21.2,1.709999919,28.30018806
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/08/2004,2.2,0.334136873,16.71640778
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/09/2004,9,5.549807549,10.45643806
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/10/2004,37.2,2.159999847,9.123781204
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/11/2004,13,11.33299637,26.85672951
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/12/2004,,123.0073547,154.0822144
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/01/2005,478,522.1224976,566.105896
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/02/2005,173,162.4837494,149.7081909
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/03/2005,423.8,380.5623169,394.0367737
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/04/2005,160.6,76.89759064,117.6644287
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/05/2005,17,2.339999914,10.72579956
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/06/2005,83.6,16.47000122,52.17361069
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/07/2005,109,5.670000076,54.12214279
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/08/2005,69.8,2.789999962,49.16179657
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/09/2005,2,2.370000124,7.037103653
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/10/2005,29.2,15.74999905,28.52169418
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/11/2005,10.8,12.60418892,20.0382328
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/12/2005,17.2,6.846867085,66.96450043
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/01/2006,733.2,611.0300293,484.8396301
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/02/2006,404,258.6152039,312.0305176
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/03/2006,549.6,423.6804504,507.70224
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/04/2006,,948.355896,661.8729248
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/05/2006,,262.4767151,213.9975586
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/06/2006,,4.949999809,48.91136932
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/07/2006,,5.579999447,47.13339996
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/08/2006,31.6,16.62988853,31.8770771
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/09/2006,7.8,0.629999995,9.524115562
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/10/2006,20.8,5.746125698,7.158398628
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/11/2006,17.4,0,23.60412979
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/12/2006,39.2,4.95219326,25.43947601
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/01/2007,,189.7014771,354.974884
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/02/2007,451.8,429.6486511,461.6723633
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/03/2007,719,483.2154236,448.0662842
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/04/2007,87.8,57.29726791,73.34751892
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/05/2007,84.6,30.06000137,65.42723083
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/06/2007,110.8,5.309999466,110.1673203
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/07/2007,15.6,5.130000114,26.76551056
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/08/2007,38.6,3.779999971,32.20513916
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/09/2007,2.2,0,7.008342266
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/10/2007,,4.769999504,12.4046917
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/11/2007,,66.66976929,74.12741089
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/12/2007,,124.5324936,147.2262115
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/01/2008,264.6,282.9728699,467.0735168
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/02/2008,251.6,292.9867859,377.9164429
