Date,PRCP_GHCN,PRCP_TRMM,PRCP_CHIRPS
1/01/2011,227,177.8409271,259.0501404
1/02/2011,493,476.4718018,469.280426
1/03/2011,329,367.1322021,318.889801
1/04/2011,512,342.0047913,442.7504883
1/05/2011,222,201.3507996,233.8107452
1/06/2011,121,80.93979645,109.8571625
1/07/2011,20,35.00698471,32.11839294
1/08/2011,64,65.48558807,61.08862305
1/09/2011,42,42.42205811,52.29017639
1/10/2011,220,180.7486877,220.634552
1/11/2011,273,241.4375,259.0692139
1/12/2011,195,144.0016327,191.7642517
1/01/2012,365,315.484314,320.3213196
1/02/2012,260,237.3150177,269.5766296
1/03/2012,239,147.7605286,253.9838562
1/04/2012,136,93.06393433,181.0990601
1/05/2012,87,124.780304,171.5921173
1/06/2012,70,73.44937897,68.04115295
1/07/2012,83,87.54525757,100.623909
1/08/2012,27,60.38123322,48.6763916
1/09/2012,90,100.7498474,77.23657227
1/10/2012,178,71.96636963,165.1554108
1/11/2012,285,160.917923,307.6029358
1/12/2012,266,270.9962769,233.7294922
1/01/2013,298,206.6156921,275.5609741
1/02/2013,318,246.0426025,345.6993103
1/03/2013,427,290.5532227,147.0826111
1/04/2013,421,263.5989075,402.2324829
1/05/2013,238,182.6264191,245.3960724
1/06/2013,32,46.35387421,50.14630127
1/07/2013,167,92.03633881,141.2785797
1/08/2013,53,42.90053177,63.75395966
1/09/2013,121,64.06302643,108.2735825
1/10/2013,193,77.14247131,201.3671722
1/11/2013,312,265.9751892,327.9434204
1/12/2013,101,116.4207306,103.0363235
1/01/2014,253,196.3830109,243.9916687
1/02/2014,245,243.2152863,264.4593506
1/03/2014,528,518.8805542,535.2949829
1/04/2014,255,207.4494476,277.7429504
1/05/2014,425,181.4906769,384.5864563
1/06/2014,212,147.2950287,203.6072235
1/07/2014,66,58.48073959,79.55821991
1/08/2014,32,34.30026627,46.41916656
1/09/2014,0,17.53374481,46.69444275
1/10/2014,191,232.0589447,193.1590424
1/11/2014,196,140.5404358,201.8120117
1/12/2014,174,142.3062439,174.8183746
1/01/2015,304,194.7220001,308.3339844
1/02/2015,214,122.9515305,215.5702209
1/03/2015,374,247.124176,402.0152893
1/04/2015,166,121.2120361,185.3464661
1/05/2015,308,196.8194122,306.9429626
